id,name,year_began,year_ended,notes,url,publisher_id
2248,Friends of Lulu,NULL,NULL,NULL,NULL,3456
2249,Friese Pers Boekerij,NULL,NULL,NULL,NULL,7725
2251,From the Red Circle Press,1950,1952,NULL,NULL,7713
2252,FSG,NULL,NULL,NULL,http://us.macmillan.com/FSG.aspx,3311
2253,FSY,1951,NULL,Box with FSY on spine. (Representing Farrar Straus and Young).,NULL,3311
2254,FUBAR Press,2011,NULL,NULL,NULL,8734
2255,Fulcrum Books,NULL,NULL,NULL,NULL,6583
2256,Full Bleed,NULL,NULL,NULL,NULL,858
2257,Full Circle,2004,2005,NULL,NULL,3058
2258,Full Stop,NULL,NULL,NULL,NULL,1356
2259,Fulp Fiction,2004,NULL,NULL,http://www.fulpfiction.com/,8622
2260,Fun! Fun Media; Marvel,NULL,NULL,NULL,NULL,5309
2261,Funk-O-Tron,2001,NULL,robot head with red eyes over a black circle,NULL,6017
2262,Funny Pages Press,NULL,NULL,NULL,NULL,2549
2263,Funny Valentine Press,NULL,NULL,NULL,NULL,1019
2264,Fusion Comics,2008,2010,Brand moved to publisher Panini France in 2010.,NULL,8393
2265,Fusion Comics,2010,NULL,Brand continued from the joint venture between French publishers Panini France and Soleil.,NULL,4475
2267,Future Comics,NULL,NULL,"Logo is reminiscent of Da Vinci's ""Vitruvian Man.""",NULL,2463
2268,Future Comics; IDW,2012,NULL,"Used on a publication that was published ""in collaboration with IDW"".",NULL,2463
2269,Futurum Forlag,NULL,NULL,NULL,NULL,1749
2270,G,NULL,NULL,NULL,NULL,679
2271,G,1995,1998,NULL,NULL,493
2272,G B Studios,2005,2007,NULL,NULL,6944
2273,G; Gevion,NULL,NULL,NULL,NULL,1580
2274,G; Gutenberghusbladene,NULL,NULL,NULL,NULL,5346
2275,Gabriela Mistral,1973,NULL,NULL,NULL,7413
2276,GAG Golden Age Greats,1996,1998,NULL,NULL,454
2277,Galago,NULL,NULL,NULL,NULL,1212
